NAMES,HABITAT,NO .OF THREATS,POPULATION TREND,CATEGORY STATUS,CATEGORY,GENERATION LENGTH
Damaliscus lunatus ssp. lunatus,Savanna,4,Increasing,lc, MAMMALIA,6.1
Topi,Savanna,0,Decreasing,vu, MAMMALIA,6.1
Damaliscus lunatus ssp. tiang,Shrubland,3,Stable,lc, MAMMALIA,6.1
Mountain Bongo,Forest,2,Decreasing,cr, MAMMALIA,8
Lowland Bongo,Forest,2,Decreasing,nt, MAMMALIA,8
Red Langur,Forest,2,Decreasing,vu, MAMMALIA,14
Pangani Small-eared Galago,Forest,2,Decreasing,lc, MAMMALIA,
Northern Grey Slender Loris,Forest,5,Decreasing,en, MAMMALIA,7.5
Bioko Dwarf Galago,Forest,2,Decreasing,en, MAMMALIA,
Zanzibar Galago,Forest,4,Decreasing,en, MAMMALIA,
Bolivian Squirrel Monkey,Forest,1,Decreasing,lc, MAMMALIA,
Red Hartebeest,Savanna,3,Increasing,lc, MAMMALIA,7.5
Coastal Topi,Shrubland,4,Decreasing,en, MAMMALIA,6.1
Western Mountain Reedbuck,Shrubland,2,Decreasing,en, MAMMALIA,5
Southern Mountain Reedbuck,Shrubland,3,Decreasing,en, MAMMALIA,5
Bangweulu Tsessebe,Shrubland,0,Increasing,vu, MAMMALIA,6.1
Ethiopia Lesser Galago,Forest,0,Decreasing,lc, MAMMALIA,
Southern Purple-faced Langur,Forest,3,Decreasing,en, MAMMALIA,12
Northern Purple-faced Langur,Forest,3,Decreasing,en, MAMMALIA,12
Bright's Gazelle,Savanna,2,Decreasing,lc, MAMMALIA,4.9
Samango Monkey,Forest,5,Decreasing,vu, MAMMALIA,13
Black-footed Gray Langur,Forest,1,Decreasing,nt, MAMMALIA,11
Lomami River Blue Monkey,Forest,3,Decreasing,nt, MAMMALIA,13
Fringe-eared Oryx,Savanna,3,Decreasing,vu, MAMMALIA,6.1
Saguinus mystax ssp. pileatus,Forest,0,Stable,lc, MAMMALIA,7.4
White-rump Moustached Tamarin,Forest,0,Stable,lc, MAMMALIA,7.4
Bioko Black Colobus,Forest,0,Decreasing,cr, MAMMALIA,10
Rump-spotted Blue Monkey,Forest,0,Decreasing,lc, MAMMALIA,
Orange-naped Red Langur,Forest,2,Decreasing,vu, MAMMALIA,13
Tonkin Black Crested Gibbon,Forest,0,Decreasing,cr, MAMMALIA,15
Lao Black Crested Gibbon,Forest,3,Decreasing,cr, MAMMALIA,15
Dwarf Blue Sheep,Forest,2,Decreasing,en, MAMMALIA,7
Bioko Squirrel Galago,Forest,2,Decreasing,en, MAMMALIA,4
Northwestern Red Slender Loris,Forest,3,Decreasing,cr, MAMMALIA,7.5
